column_name,count,mean,std,min,25%,50%,75%,max,missing_count
Air Temperature,196484.0,12.604700280938907,10.444147466106257,-29.78,4.3,13.67,21.5,37.6,75
Wet Bulb Temperature,120488.0,10.260340448841378,9.41070123354765,-28.9,3.0,11.5,18.4,28.4,76071
Humidity,196559.0,68.02074695129707,15.62843806539494,0.0,57.0,69.0,80.0,100.0,0
Rain Intensity,120488.0,0.1588506739260341,1.793161426673104,0.0,0.0,0.0,0.0,183.6,76071
Interval Rain,196559.0,0.14224131176898538,1.096281960513519,-0.9,0.0,0.0,0.0,63.42,0
Precipitation Type,120488.0,4.270591262200385,15.595518234691472,0.0,0.0,0.0,0.0,70.0,76071
Wind Direction,196559.0,140.74931191143625,122.03142263324413,0.0,10.0,115.0,260.0,359.0,0
Wind Speed,196559.0,2.918804023219491,5.338703412893496,0.0,1.6,2.9,3.3,999.9,0
Maximum Wind Speed,196559.0,3.555358950747613,5.952370208689939,0.0,1.2,3.1,5.2,999.9,0
Barometric Pressure,196413.0,994.3167483822353,10.02598289428859,0.0,990.2,994.4,998.6,3098.5,146
Heading,120488.0,282.0429005378129,142.7194528636282,0.0,350.0,354.0,357.0,359.0,76071
Battery Life,196559.0,13.163690800217749,1.5446751770844416,0.0,11.9,12.0,15.1,15.3,0
