,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Heading,Battery Life,hour,day_of_week,month,temp_diff,humidity_x_wind,rolling_air_temp_24h
Air Temperature,1.0,0.9787717077347055,0.008405180083854198,0.005907977996742933,0.02127291585735066,-0.057377739539269765,-0.10330299180907128,-0.2285789926930834,-0.06997106796523583,-0.1674297229645889,0.04672141577773193,-0.0743636696335297,0.0627646213297121,-0.022138851300324572,0.26767122335457166,0.5402874553891067,-0.20673304778270285,0.9767944200530401
Wet Bulb Temperature,0.9787717077347055,1.0,0.1814915893778351,0.026010475187299546,0.05171151988709735,-0.01590964718510343,-0.1463704297330147,-0.21689940188558432,-0.08096527859497091,-0.18244894545467957,0.057378746138244036,-0.028594272197261923,0.03669307710704058,-0.021631067515748736,0.26245980270868385,0.3563536833011632,-0.13855439344620926,0.9736039417545603
Humidity,0.008405180083854198,0.1814915893778351,1.0,0.11453132217362723,0.17480960160407583,0.2605881173318695,-0.1379621057502931,0.016687019705746823,0.03793955248478073,-0.12204215388462424,0.05830438459418922,-0.1457594906526514,-0.11736823685506893,-0.0039899856240829135,-0.021706026120300842,-0.7068346497415698,0.36845453786227217,0.06774951291120326
Rain Intensity,0.005907977996742933,0.026010475187299546,0.11453132217362723,1.0,0.4776045281586643,0.3188712302937593,-0.0040935091143082854,0.05855038475934435,0.02842658164373621,-0.051360962899252655,0.0068925405834349045,-0.004997018740322612,-0.0026993990436932637,0.002513595137918927,0.0018899594222442511,-0.08434818939165607,0.09948122203951322,0.016080520058141257
Interval Rain,0.02127291585735066,0.05171151988709735,0.17480960160407583,0.4776045281586643,1.0,0.41092785811482885,-0.0039020412407566726,0.05097005617651779,0.03404592553040784,-0.07102033186054071,0.01426301208660926,-0.011093484726720657,0.0017471117574833425,-0.005557191375047238,0.0028479556819885547,-0.11533280234038114,0.11939776412371249,0.0386859238767332
Precipitation Type,-0.057377739539269765,-0.01590964718510343,0.2605881173318695,0.3188712302937593,0.41092785811482885,1.0,-0.02769935983540808,0.0568646793112,0.04045881975889314,-0.11240753380304143,-0.042695929537007266,0.012783024175993184,-0.0018171796922352667,0.008606102056706765,-0.03517097524235948,-0.20547929665825573,0.1400613725965015,-0.038804583119582875
Wind Direction,-0.10330299180907128,-0.1463704297330147,-0.1379621057502931,-0.0040935091143082854,-0.0039020412407566726,-0.02769935983540808,1.0,-0.10040293305406452,0.18875554764338395,-0.024325078854104114,0.004652145497622081,-0.2987068259185551,-0.07195105307889735,-0.01114347483819967,0.023837665109856455,0.13001288084222865,-0.1457362841764458,-0.11225156934736227
Wind Speed,-0.2285789926930834,-0.21689940188558432,0.016687019705746823,0.05855038475934435,0.05097005617651779,0.0568646793112,-0.10040293305406452,1.0,0.3444625339354102,-0.047444658776257705,0.1450649831341465,0.1605136833370369,0.03102813628218722,0.01027561522454357,-0.0824405267444115,-0.1515290945744424,0.9119956023986051,-0.21842570257715743
Maximum Wind Speed,-0.06997106796523583,-0.08096527859497091,0.03793955248478073,0.02842658164373621,0.03404592553040784,0.04045881975889314,0.18875554764338395,0.3444625339354102,1.0,0.05707756913383146,0.05119239282383703,-0.23518012839858737,0.010484150093990487,0.0009113824410513037,-0.028782130910104082,0.013433083120567506,0.33489846600298906,-0.08107940840322671
Barometric Pressure,-0.1674297229645889,-0.18244894545467957,-0.12204215388462424,-0.051360962899252655,-0.07102033186054071,-0.11240753380304143,-0.024325078854104114,-0.047444658776257705,0.05707756913383146,1.0,0.021089709590942265,-0.025483169110956234,-0.011040925706452777,0.03496705615549284,0.03811654684541701,-0.014199473006951728,-0.09040994083531424,-0.1743285596134571
